HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458306.53996,2018-07-07.0409943,bi,1.51,17.286,15.747,0.053,1.824,0.089,g
2458306.54117,2018-07-07.0422106,bi,1.48,17.192,15.672,0.054,1.955,0.097,g
2458311.52812,2018-07-12.0295956,be,1.51,16.830,15.484,0.063,2.457,0.142,V
2458311.52937,2018-07-12.0308497,be,1.61,16.753,15.517,0.070,2.383,0.153,V
2458311.53064,2018-07-12.0321218,be,1.55,16.772,15.356,0.059,2.762,0.150,V
2458312.51033,2018-07-13.0118981,bi,1.53,17.319,15.838,0.056,1.678,0.086,g
2458312.51155,2018-07-13.0131164,bi,1.52,17.294,15.762,0.053,1.799,0.088,g
2458312.51277,2018-07-13.0143334,bi,1.51,17.213,15.703,0.054,1.901,0.095,g
2458313.52164,2018-07-14.0232949,bi,1.61,17.280,15.805,0.056,1.731,0.089,g
2458313.52286,2018-07-14.0245101,bi,1.58,17.225,15.692,0.053,1.919,0.094,g
2458313.52408,2018-07-14.0257312,bi,1.61,17.228,15.688,0.053,1.927,0.093,g
2458314.52006,2018-07-15.0218109,be,1.52,16.873,15.407,0.057,2.636,0.137,V
2458314.52132,2018-07-15.0230645,be,1.53,16.844,15.473,0.062,2.482,0.140,V
2458314.52259,2018-07-15.0243284,be,1.46,16.797,15.497,0.066,2.427,0.147,V
2458315.51120,2018-07-16.0130216,bi,1.46,17.002,15.726,0.067,1.860,0.115,g
2458315.51240,2018-07-16.0142355,bi,1.43,17.103,15.657,0.058,1.982,0.105,g
2458315.51362,2018-07-16.0154516,bi,1.42,16.660,15.820,0.102,1.707,0.159,g
2458319.62231,2018-07-20.1244879,bq,1.62,16.440,15.474,0.090,2.346,0.193,g
2458319.62353,2018-07-20.1257078,bq,1.57,16.444,15.691,0.110,1.921,0.192,g
2458319.62475,2018-07-20.1269275,bq,1.55,16.319,15.840,0.141,1.675,0.216,g
2458320.24018,2018-07-20.7424011,bm,1.36,13.918,>13.918,99.990,2.054,1.968,g
2458320.24139,2018-07-20.7436174,bm,1.76,99.990,99.990,99.990,99.990,99.990,g
2458320.24261,2018-07-20.7448392,bm,1.78,13.547,>13.547,99.990,5.369,2.774,g
2458321.49538,2018-07-21.9977144,be,2.01,15.838,15.495,0.160,2.430,0.355,V
2458321.49666,2018-07-21.9989899,be,1.91,15.840,15.762,0.204,1.901,0.354,V
2458321.49792,2018-07-22.0002531,be,1.93,15.583,15.323,0.172,2.850,0.448,V
2458322.20806,2018-07-22.7104454,bm,1.70,16.452,15.830,0.124,1.691,0.191,g
2458322.20931,2018-07-22.7116962,bm,1.78,16.522,15.757,0.108,1.808,0.179,g
2458322.21053,2018-07-22.7129177,bm,1.77,16.501,15.935,0.130,1.535,0.182,g
2458322.49057,2018-07-22.9929826,bi,1.73,15.756,15.446,0.165,2.409,0.362,g
2458322.49179,2018-07-22.9942032,bi,1.70,15.832,15.445,0.153,2.412,0.338,g
2458322.49300,2018-07-22.9954206,bi,1.84,16.105,15.699,0.151,1.907,0.262,g
2458323.49076,2018-07-23.9932519,bi,1.42,16.494,15.793,0.115,1.748,0.184,g
2458323.49197,2018-07-23.9944601,bi,1.36,16.486,15.559,0.093,2.169,0.185,g
2458323.49318,2018-07-23.9956796,bi,1.44,16.535,15.996,0.133,1.451,0.177,g
2458324.48879,2018-07-24.9913631,be,1.48,16.183,15.408,0.107,2.635,0.258,V
2458324.49006,2018-07-24.9926363,be,1.44,16.164,15.592,0.129,2.224,0.263,V
2458324.49133,2018-07-24.9938974,be,1.50,16.198,15.741,0.144,1.939,0.255,V
2458325.48491,2018-07-25.9875616,be,1.47,15.689,15.403,0.168,2.648,0.407,V
2458325.48621,2018-07-25.9888650,be,1.49,15.703,15.173,0.135,3.271,0.402,V
2458325.48750,2018-07-25.9901579,be,1.46,15.712,15.398,0.164,2.660,0.399,V
2458326.22364,2018-07-26.7263554,bm,1.50,15.989,15.812,0.186,1.719,0.292,g
2458326.22485,2018-07-26.7275567,bm,1.63,16.199,15.539,0.119,2.210,0.241,g
